Name,Type,Detection Method,Mass<br>(M<sub>E</sub>),Radius<br>(R<sub>E</sub>),Flux<br>(S<sub>E</sub>),<i>T<sub>surf</sub></i><br>(K),Period<br>(days),Distance<br>(ly),Age<br>(Gy),ESI
"TOI-700 d","M Warm Terran","Transit",1.250000000000000,1.073000000000000,0.8598268771328632,276.9392586198363,37.42396000000000,101.5209473400000,1.500000000000000,0.9411759197418450
"GJ 3293 d","M Warm Superterran","Radial Velocity",7.600000000000000,2.670000000000000,0.5885926980570722,251.3040314294288,48.13450000000000,65.85187486800000,NaN,0.6297766025524363
"GJ 180 c","M Warm Superterran","Radial Velocity",6.400000000000000,2.410000000000000,0.7844885952402295,270.3400124979786,24.32900000000000,38.94530949200000,NaN,0.6954027456303640
"GJ 433 d","M Warm Superterran","Radial Velocity",5.223000000000000,2.140000000000000,1.059806630466422,291.6300979381335,36.05900000000000,29.56460631360000,NaN,0.7424600498063990
"LP 890-9 c","M Warm Terran","Transit",25.30000000000000,1.367000000000000,0.9085761668189248,280.8767919413650,8.457463000000001,105.7717384880000,7.200000000000000,0.8852510892201346
"TOI-700 e","M Warm Terran","Transit",0.8179999999999999,0.9530000000000000,1.278049313841024,305.6881109516861,27.80978000000000,101.5209473400000,1.500000000000000,0.9120318593055377
"Kepler-705 b","M Warm Superterran","Transit",5.100000000000000,2.110000000000000,0.7656389697854677,269.1110486603185,56.05605380000000,903.0639943599998,3.890000000000000,0.7307367120077792
"Kepler-452 b","G Warm Superterran","Transit",3.290000000000000,1.630000000000000,1.109012984423020,295.2294508896408,384.8430000000000,1799.490714120000,6.000000000000000,0.8267184980308970
"Kepler-1649 c","M Warm Terran","Transit",1.200000000000000,1.060000000000000,1.226056845240327,302.7284049431404,19.53527000000000,300.6874564280000,NaN,0.9252978951868612
"K2-9 b","M Warm Superterran","Transit",5.690000000000000,2.250000000000000,1.448495716881269,315.6129574939447,18.44980000000000,270.5891284360000,1.000000000000000,0.6987684043607543
